equipo,No.,Objetivo,Tema,Descripción del proyecto,¿Cuál es el cambio que quieres alcanzar al final del proceso?,¿Por qué es relevante financiar el proyecto en este momento?,FINAL,Comentarios,Equipo,"¿Los objetivos son relevantes para el FRR y para Pulsante, y son posibles de alcanzar?__1"
1,11,"Fortalecimiento de la Incidencia de las Comunidades Indígenas.
Para que salgan de la marginacion rural y se den a conocerse de quienes son.
Para que haya una lucha hacia un cambio de Desarrollo de las Comunidades Indigenas rurales.",Derechos pueblos indígenas,"Promover los espacios Municipales de las Comunidades Indigenas tanto a nivel Departamental en la lucha y la defensa de sus territorios donde posiblemente estan sufriendo amenazas de desalojo por la defensa de los recursos naturales y por su idioma y espiritualidad maya.
Crear espacios de Incidencia politica sobre el rescate de la cultura y Espiritualidad Maya que esto es desconocimiento en el Sector Publico.
Formar a jovenees Indigenas a ser guías mas Guías Espirituales en la cosmovision contemporáneo.","Que las comunidades Indigenas sean reconocimdos y tengan un papel importante en las tomas de desiciones para la defensa de los recursos naturales y que sean reconocidos en la Espiritualidad Maya y que sean defensores de sus propios recursos naturales y sus derechos humanos, incluyendo a mujeres indígenas del área rural marginadas por su traje su idioma y su cultura.
 Que sean promotores en la promoción de la formación de otras y otros jóvenes en el proceso.","Porque a pesar de la crisis de la Pandemia del COVID 19 los hace minimizarlos como que no existieran los conocedores contemporaneos en las comunidades indigenas esta la ciencia pero no hay espacios y no hay recursos para poder llevar dicha formación, están marginados por la defensa de los recursos naturales.",No,"No son campañas. Es un proyecto de rendicion tradicional.

",NA,NA
1,12,"Apoyar el acceso a lectoescritura y de guías que acompañen el proceso escolarizado a distancia, y evitar la deserción escolar sobre todo de
niñas en situación marginal provenientes de familias numerosas con pocos recursos.",Educación ,"Apertura el espacio de la
Organización, ofrecer apoyo sobre la lectoescritira, pedagógico, y técnico sobre todo a niñas, a través como un espacio seguro y con acervo bibliográfico sobre temas de la escolarización y de interés general.",Aminorar la brecha de deserción escolar en niñas,"Por el rezago educativo que vivimos a través de las inequidad de condiciones para la Educación que tiene. Algunas familias, brecha que aún sigue siendo amplio entre niños y Niñas.",NA,NA,NA,NA
1,13,"Generar opinión favorable en torno a la problemática de la violencia y la discriminación contra niños, niñas y adolescentes LGBT como un problema de co-responsabilidad entre Estado, sociedad y familias dentro y fuera del entorno educativo.",Identidad de género,"Luis Álvarez, un adolescente de 17 años, vive en un barrio de difíciles condiciones económicas, en Sincelejo, Colombia. Durante mucho tiempo ha sido discriminado, acosado e intimidado por ser gay. El 30 de julio de 2020, como había sucedido antes innumerables veces, un vecino de su misma edad llamó a Luis con palabras ofensivas, relacionadas con su orientación sexual. En medio de la discusión, el vecino tomó un machete y le cortó parte del brazo a Luis. Queremos visibilizar el problema de fondo de este caso: la ausencia de políticas publicas de protección de jóvenes, LGBT víctimas de violencia.","Que existan personas y organizaciones aliadas que apoyen y que presionen a las autoridades locales y nacionales para que efectivamente diseñen y adopten programas específicos de prevención de la violencia y protección de niños, niñas y adolescentes LGBT dentro y fuera del entorno educativo","En primer lugar, la actual coyuntura por el doloroso caso de violencia contra Luis Álvarez, es una oportunidad para que la sociedad colombiana se de cuenta y que lamentablemente este no es un hecho aislado. Por el contrario, es resultado de la ausencia de políticas públicas en la materia. En segundo lugar, es importante que Luis sea acompañado y también visibilizado como una forma de sensibilizar a otros jóvenes de su edad. En tercer lugar, la sociedad colombiana debe darse cuenta que todavía nos falta mucho trabajo para vivir en un ambiente justo e incluyente hacia las personas LGBT, pese a todos los avances legales.",Revisar,"Esta en logica de proyecto. No hay campaña

Duda existencial; Creo que cumple con muchos de los criterios; actividades informativas (a ciudadanía y gobierno), posicionamientos, formación, medios, sensibilización. ¿No es como campaña integral, o sí es muy proyecto?",NA,NA
1,14,"Promocionar el cese a la violencia laboral, en el contexto del confinamiento de trabajadoras domésticas producido por la pandemia del Convid-19.",Derechos laborales,"Dada la pandemia el 65% de la población traajadora doméstica se ha quedado trabajando en casa de terceros, donde se han constituido como esclavas modernas, puesto que los empleadores para que ellas no se contagien y sean una posible fuente de contagio, no las dejan salir, les han incrementado sus labores y se les ha bajado salario. Buscamos generar espacios de sencibilización a empeladores que deben mejorar las condiciones de las trabajadoras, y que ellas puedan hacer denuncias de violación a sus derechos sobre todo los de salud y económicos.","Que los diputados y diputadas al congreso, pongan en tercera lectura la iniciativa de ley 4981 que busca ratificar el Convenio 189 de la Organización Internacional del Trabajo, sobre trabajo doméstico, para que mejore las condiciones laborales y cese de la violencia, ademas la protección social, de las trabajadoras como medida de prevención y seguridad por el contexto del Covid-19","Porque de todas las ramas laborales de la economía que se han caido por la pandemia, estudios de la ONU MUJERES, la CEPAL, y nuestros evidencian que el sector de trabajadoras domésticas han quedado mas vulnerados sus derechos. Porque mas del 35% fueron desdepedidas sin goce de sus derechos laborales económicos, y reconocimiento de liquidación. Mientras que el 65% ha quedado confinado, sufriendo de violencia, acoso en los lugares de trabajo. Son en Guatemala una población de 317 mil trabajadoras, que consisten en el 4.6% de la Población Ocupada y contribuyen al Producto Interno Bruto, la mayoria de son mujeres indigenas, jovenes, inmigrantres, con nulos o escasos niveles educativos. La pandemia ha generado una serie de situaciones de violencia laboral, como en los hogares donde laboran las trabajadoras, y ellas no han sido exentas de estos tipos de violencia, por lo que se ha utilizado por parte de los empleadores, las suspensiones temporales, logrando que el Gobierno cubra el bono del desempleo de la trabajadora, pero el empleador, siempre se queda con la trabajadora a su servicio, esto ha generado una violación al derecho de ellas, como una manera de mal utilizar los recursos del Estado puestos para atender durante la Pandemia.",No,Cumple oportunidad a pesar de eso es muy amplio para el tiempo determinado. Esclavitud en tiempos de pandemia. Cuanto respaldo hay de otras organizaciones? Cual es el aislamiento en Guatemala? Es un proceso mas legislativo wue de campaña.,NA,NA
1,15,El objetivo del proyecto es la adopción de la propuesta de #Fiscal_Digital a la Comisión de Actualización y Modernización Electoral (CAME) por parte del TSE de Guatemala. Podemos eliminar la posibilidad de alteraciones del voto guatemalteco en elecciones futuras. Guatemala sería el primer país del planeta en adoptar blockchain como tecnología garante de la integridad de una votación nacional. Este ejemplo podría mejorar los sistemas electorales de toda la región.,Elecciones,"Recuperar la confianza de la ciudadanía en resultados de votaciones nacionales, incorporando la tecnología digital más segura del planeta y empoderando a la ciudadanía para llevar a cabo auditorías en tiempo real del 100% de los documentos oficiales de votaciones nacionales en América Latina, comenzando por Guatemala.",Reemplazar mediante un Acuerdo de Magistrados del Tribunal Supremo Electoral de Guatemala el uso de papel carbón o papel pasante como tecnología de garantía de las certificaciones de documentos electorales. Ahorrar cientos de millones de quetzales en cada futura votación guatemalteca mientras se incrementa la seguridad. Elevar el nivel educativo de la sociedad guatemalteca sobre cómo funciona el sistema de votaciones nacional. Demostrar a América Latina que se puede recuperar la confianza del mundo en sus resultados de votaciones mediante la adopción de tecnología que promete ahorros considerables en tiempo y recursos mientras se elimina la posibilidad de fraude.,"La CAME del TSE de Guatemala culminó su trabajo el 11 de Marzo 2020. Durante la actividad, el ahora ex-presidente de la Magistratura del TSE de Guatemala, Julio Solórzano, confirmó a #Fiscal_Digital mediante una grabación en video su intención de aprobar la propuesta el 18 de marzo en la última reunión de su mandato. El 15 de Marzo el Presidente de Guatemala, Alejandro Giammattei, anunció el cierre del país debido a la pandemia del Covid19. 
  
 #Fiscal_Digital intentó dar seguimiento a la aprobación de la propuesta antes del cambio de autoridades electorales de Guatemala pero no fue posible debido a las restricciones de movilidad nacional. Ahora, la Magistratura del Tribunal Supremo Electoral de Guatemala la ocupan nuevos magistrados que no han respondido a las solicitudes de audiencia presentadas por las organizaciones miembras del movimiento de #Fiscal_Digital. 
  
 En Septiembre 2020 Bolivia celebrará sus elecciones nacionales luego de un proceso reconocido como fraudulento en Octubre 2019. En Febrero 2021, El Salvador llevará a cabo elecciones legislativas a nivel nacional. En Julio 2021, México llevará a cabo elecciones legislativas a nivel federal. 
  
 América Latina necesita garantizar a sus ciudadanos y al mundo entero que sus elecciones son confiables. De lo contrario, ponemos en riesgo la transición pacífica del poder político en nuestra región. Los casos de sospecha de fraude en las votaciones se han acelerado en los últimos años. Necesitamos adoptar nuevas tecnologías que disminuyan los costos y realmente garanticen, en base a matemática y criptografía verificable por terceros independientes, resultados confiables.",NA,NA,NA,NA
1,16,Implementar una campaña multiplataforma para fortalecer la idea Que la nueva Constitución debe contener elementos que permitan avanzar hacia sociedades sustentables,Incidencia política,"Promover, a través de una campaña en múltiples plataformas, la incorporación de aspectos ecológicos, de género y protección de bienes comunes en la Nueva Constitución","Que los miembros de la Convención Constitucional incorporen temáticas ecológicas, de género y protección de bienes comunes en la Nueva Constitución","Chile está iniciando un proceso Constituyente, que comenzará con un plebiscito y luego, se formará una convención constitucional. En caso que eso ocurra (lo cual es altamente probable según las encuestas) es necesario educar y entregar insumos para la ciudadanía y los miembro de la convención, sobre aspectos importantes que deben incluirse en el nuevo texto constitucional como: la perspectiva de género, la protección de bienes comunes y los principios de la ecología.",Revisar (Ricardo),Incluir la agenda verde en el proceso contituyente. No hay coordinacion entre actividades y plan de trabajo y resultados.,NA,NA
1,17,agricultura y conservacion del medio ambiente,Medio ambiente,"apoyar al campesino para que viva dignamente, capacitarlo con asesorias tecnicas para el mejoramiento de sus cultivos y cuidado del medio ambiente, eliminar los intermediarios en la compra de sus productos y establecer precios justos, creando la red de comercializacion y distribucion directa con el cliente",alimentacion sana de productos organicos y de origen en forma sustentable y sostenible y a la vez proteger el medio ambiente,"debido a la pandemia del covid19, es de suma importancia gestionar para la poblacion , la alimentacion sana, desde la siembra , hasta la entrega al consumidor",NA,NA,NA,NA
1,18,"Debido a la pandemia del COVID-19 que el mundo esta viviendo en estos momentos, las personas privadas de la libertad enfrentan mayores problemas debido a su reclusión impactando de manera diferenciada en grupos en situación de vulnerabilidad, por lo tanto resulta importante visibilizar la situación que viven las personas LGBTI privadas de la libertad en centros penitenciarios en latinoamerica y así poder cambiar cambiar la narrativa negativa que se tiene sobre las personas recluidas e incidir en espacios institucionales o con titulares de dependencias en acciones a favor de las personas LGBTI privadas de la libertad en centros penitenciarios de los países donde se encuentran establecidas las organizaciones civiles postulantes.",Identidad de género,Visibilizar la situación de las personas LGBTI privadas de la libertad en los centros penitenciarios en Latinoamerica e incidir en las esfera social y política a favor de las personas LGBTI privadas de la libertad.,"Personas, instituciones y organismos sensibilizados sobre la importancia de realizar acciones con perspectiva de género y diversidad sexual dentro de los centros penitenciarios.","La Pandemia de COVID19 ha impactado de manera diferenciada en lo grupos sociales del mundo, sin embargo las personas LGBTI privadas de la libertad se encuentran en mayor vulnerabilidad ante el abandono social, familiar y gubernamental generando una mayor brecha de desigualdad al resto de sus pares personas privadas de la libertad.",No,Tema super interesante. Oportuno pero no hay conexion con plan de trabajo. Como de taller  se pasa a poner el tema en agenda publica. Plan de trabajo enfocado en talleres.,NA,NA
1,19,Generar nuevos escenarios de la participación de las victimas a traves de los medios virtuales de comunicación y el uso de herramientas tecnológicas donde se visibilice su incidencia y trabajo generando campañas de comunicación que fortalezcan esa defensa en la protección y garantía de los Derechos Humanos,Derechos laborales,Brindar las herramientas tecnológicas mediante las cuales los representantes de las victimas puedan desarrollar su incidencia a través de la virtualidad y escenarios de plataformas digitales.,Fortalecimiento a la participación de las victimas mediante el desarrollo de capacidades y habilidades tecnológicas y virtuales como parte de las garantías dentro de los procesos de agendas publicas y privadas.,"De acuerdo al estado de emergencia declarado por el Gobierno Nacional y las medidas adoptadas por las administraciones locales de aislamiento obligatorio, en virtud de que las agendas locales se siguen desarrollando se hace necesario que ante la importancia que representa en los distintos escenarios la participación efectiva de las victimas sobre el seguimiento y evaluación a las políticas púbicas, incidencia política y social ; y todo el trabajo que demanda la representatividad en el ejercicio de protección, garantías y goce efectivo de los Derechos Humanos,; ante la negativa de los gobiernos locales y demanda de recursos insuficientes para garantizar la debida participación, se debe buscar alternativas de solución que permita la vicibilizacion de las estrategias y aportes significativos mediante los diferentes medios de comunicación , plataformas virtuales, redes sociales etc.",No,Garantizar la participacion en la pandemia de grupos vulnerables. Particiapacio wue no es en discusión publica sino en sus propios dialogos,NA,NA
1,20,"Promover en comunidades, poblaciones y nacionalidades indigenas, la denuncia, rechazo y repudio a la criminalizacion, persecucion, asesinatos y desapariciones forsadas, de lideresas, lideres indigenas, defensores de derechos humanos, en el nivel comunidades, municipios, departamentos y nacional en Guatemala, a traves de conferencias, movilizaciones tecnicas y de empoderamiento de los derechos humanos.",Derechos pueblos indígenas,"La iniciativa se circuscribe en lo siguientes aspectos;
Defensa de los derechos de los lideres y lideras indigenas.
Defensa de los derechos de los dfensores de derechos humanos.
Acompañamiento a al esclarecimiento de la desaparicion del lider indigena y Defensor de Derechos Humanos, Carlos Enrique Coy.
-Estos componentes expuesto conforma la propuesta de manera pragmatica y en efecto las acciones u actividade a impulsar por cada uno de los mismos.","-Creado la red de promotores juridicos ancestrales de jovenes y mujeres en el marco de la defensa de los lideres y lideresas indigenas, defensores de derechos humanos. 
 -Acompañado de manera permanente y casuistica el proceso de eslclracimiento de la desaparicion del lider Indigena y defensor de Derechos Humanos Carlos Enrique Coy. 
 -Logrado las medidas cautelares en favor de la familia del lider desaparecido y de otras familias en amanaza.","En efecto esta iniciativa es impresindible conyunturalmente debido al aumento de la criminalizacion, persecucion, amenaza y desapariciones forzadas en contra de los defensores de derechos humanos. Por tanto este proyecto traspasa desde lo humanitario, empatia social, empoderamiento, hasta el esclarecimiento de una hecho desaparicion forsada sin precendentes en un tiempo de covid-19 sin precedentes. Por tanto la relevancion es extraordinariom ya que se reitera que se crearan redes, se atendera un proceso judicial pernemente de desaparicion forsada.",No,"Es un proyecto que arranca desde cero, el plan de trabajo es muy amplio.",NA,NA
